ปริมาณฝน(มิลลิเมตร) ราย 3 ชั่วโมง เฉลี่ย 2 สถานี ปี 2022-2024,,,,,,,,,,,,,
ที่,วันที่,วันที่,,,เวลาทำการตรวจ,,,,,,,,รวม
,,วัน,เดือน,ปี,0100,0400,0700,1000,1300,1600,1900,2200,
1,1/1/2022,1,1,2022,0,0,0,0,0,0,0,0,0
2,2/1/2022,2,1,2022,0,0,0,0,0,0,0,0,0
3,3/1/2022,3,1,2022,0,0,0,0,0,0,0,0,0
4,4/1/2022,4,1,2022,0,0,0,0,0,0,0,0,0
5,5/1/2022,5,1,2022,0,0,0,0,0,0,0,0,0
6,6/1/2022,6,1,2022,0,0,0,0,0,0,0,0,0
7,7/1/2022,7,1,2022,0,0,0,0,0,0,0,0,0
8,8/1/2022,8,1,2022,0,0,0,0,0,0,0,0,0
9,9/1/2022,9,1,2022,0,0,0,0,0,0,0,0,0
10,10/1/2022,10,1,2022,0,0,0,0,0,0,0,0,0
11,11/1/2022,11,1,2022,0,0,0,0,0,0,0,0,0
12,12/1/2022,12,1,2022,0,0,0,0,0,0,0,0,0
13,13/1/2022,13,1,2022,0,0,0,0,0,0,0,0,0
14,14/1/2022,14,1,2022,0,0,0,0,0,0,0,0,0
15,15/1/2022,15,1,2022,0,0,0,0,0,0,0,0,0
16,16/1/2022,16,1,2022,0,0,0,0,0,0,0,0,0
17,17/1/2022,17,1,2022,0,0,0,0,0,0,0,0,0
18,18/1/2022,18,1,2022,0,0,0,0,0,0,0,0,0
19,19/1/2022,19,1,2022,0,0,0,0,0,0,0,0,0
20,20/1/2022,20,1,2022,0,0,0,0,0,0,0,0,0
21,21/1/2022,21,1,2022,0,0,0,0.1,0.1,0,0,0.25,0.45
22,22/1/2022,22,1,2022,0,0,0,0,0.3,0.2,0,0,0.5
23,23/1/2022,23,1,2022,0,0,0,0,0,0,0,0,0
24,24/1/2022,24,1,2022,0,0,0,0,0,0,0,0,0
25,25/1/2022,25,1,2022,0,0,0,0,0,0,0,0,0
26,26/1/2022,26,1,2022,0,0,0,0,0,0,0,0,0
27,27/1/2022,27,1,2022,0,0,0,0,0,14.25,0.1,0,14.35
28,28/1/2022,28,1,2022,0,0,0,0,0,0,0,0,0
29,29/1/2022,29,1,2022,0,0,0,0,0,0,0,0,0
30,30/1/2022,30,1,2022,0,0,0,0,0,0,0,0,0
31,31/1/2022,31,1,2022,0,0,0,0,0,0,0,0,0
32,1/2/2022,1,2,2022,0,0,0,0,0,0,0,0,0
33,2/2/2022,2,2,2022,0,0,0,0,0,0,0,0,0
34,3/2/2022,3,2,2022,0,0,0,0,0,0,0,0,0
35,4/2/2022,4,2,2022,0,0,0,0,0,0,0,1,1
36,5/2/2022,5,2,2022,0,0,0,0,0,0,0,0,0
37,6/2/2022,6,2,2022,0,0,0,0,0,0,0,0,0
38,7/2/2022,7,2,2022,0,0,0,0,0,0,0,0,0
39,8/2/2022,8,2,2022,0,0,0,0,0,0,0,0,0
40,9/2/2022,9,2,2022,0,0,0,0,0,23.7,0,0,23.7
41,10/2/2022,10,2,2022,0,0,0,0,0,11.3,0.25,0,11.55
42,11/2/2022,11,2,2022,0,0,0,0,0,0.05,0,0,0.05
43,12/2/2022,12,2,2022,0,0,0,0,0,0.1,1.1,0,1.2
44,13/2/2022,13,2,2022,0,0,0,0,0,0,0,0,0
45,14/2/2022,14,2,2022,0,0,0,0,0,0,0,0,0
46,15/2/2022,15,2,2022,0,0,0,0,0,0,0,10.6,10.6
47,16/2/2022,16,2,2022,0.3,0,0,0,0,0,0,0,0.3
48,17/2/2022,17,2,2022,0,0,0.1,0,0.1,7,18.4,0,25.6
49,18/2/2022,18,2,2022,0,0,0,0.1,0.1,0,0,0,0.2
50,19/2/2022,19,2,2022,0,0,0.9,0,0,0,0,0,0.9
51,20/2/2022,20,2,2022,0,0,0,0,1.4,0,0,0,1.4
52,21/2/2022,21,2,2022,0,0,0,0,0,6.8,0.1,0,6.9
53,22/2/2022,22,2,2022,0,0,0,0,0,0,0,0,0
54,23/2/2022,23,2,2022,0,0,0,0,0,0,0,0,0
55,24/2/2022,24,2,2022,0,0,0,0,0,0,0,0,0
56,25/2/2022,25,2,2022,0,0,0,0,0,0,0,0,0
57,26/2/2022,26,2,2022,0,0,0,0,0,0,0,0,0
58,27/2/2022,27,2,2022,0,0,0,0,0,0,0,0,0
59,28/2/2022,28,2,2022,0,0,0,0,0,0,0,0,0
60,1/3/2022,1,3,2022,0,0,0,0,0,0,0,0,0
61,2/3/2022,2,3,2022,0,0,0,0,0,0,0,0,0
62,3/3/2022,3,3,2022,0,0,0,0,0,0,0,0,0
63,4/3/2022,4,3,2022,0,0,0,0,0,0,0,0,0
64,5/3/2022,5,3,2022,0,0,0,0,0,0,0,0,0
65,6/3/2022,6,3,2022,0,0,0,0,0,0,0,0,0
